feature,mean,std,min,max,skewness,kurtosis
timestamp,1.779278526703525e+18,23582437628985.355,1.779235200002836e+18,1.779321586257956e+18,-0.2248862509135444,-1.0544968717590757
price,645.0683028610357,3.844123363848534,637.52,651.77,-0.18080548450912845,-1.2058391009806084
quantity,0.15178066372502036,1.3059530858558317,0.001,500.0,157.29810120302346,48306.38023414566
trade_id,1498340174.8996956,158371.86453475838,1498065957.0,1498614353.0,-0.000371876406672898,-1.2009720823916061
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,1.7389132801927362e-05,0.006102201547140274,-0.4399999999999409,1.2999999999999545,26.465793924489596,5465.345172083747
log_return,2.6970206843524708e-08,9.476019502391532e-06,-0.0006827739507677677,0.0020351938892826382,27.04217833269677,5611.520153519236
tick_direction,-0.04388782081297409,0.9990364653926743,-1.0,1.0,0.08786054006264975,-1.9922878421253962
trade_intensity,34.239351221921694,77.69526888190143,1.0,1707.0,10.030332957765212,146.0470471560856
obi,-0.056229729355325116,0.7087690054988665,-1.0,1.0,0.11750112611193525,-1.471526332232964
mid_price,645.0668079153609,3.844494693335828,637.5336860969625,651.7523050139218,-0.180658733510425,-1.2057698797611431
vwmp,645.0668079153609,3.844494693335828,637.5336860969625,651.7523050139218,-0.180658733510425,-1.2057698797611431
price_mid_deviation,0.0014949456748501574,0.06270802286799554,-0.3326195563232659,1.174736401036057,0.5866540540119426,5.946072527904464
