feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7797082844543396e+18,26002846755466.863,1.779667200192844e+18,1.779753598056988e+18,0.012664135183440433,-1.2771995445701636
price,77384.17443339688,194.43488545730224,76914.25,77905.52,0.14606126660435734,-0.716892392928079
quantity,0.004352413788966016,0.044344784986360186,1e-05,9.6157,63.97446088058035,8095.815162683066
trade_id,6320477746.607246,513558.8576501517,6319588806.0,6321367314.0,0.0012207645686027394,-1.2006891845556658
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,0.00014686800620038862,0.15801837274465452,-18.210000000006403,26.880000000004657,0.2387280663575469,1614.285509707531
log_return,1.9025976338951782e-09,2.042890803911647e-06,-0.00023533162644540084,0.00034841959403841827,0.28652793558139567,1621.2557997428025
tick_direction,-0.015603261549607447,0.9998782617044008,-1.0,1.0,0.031210349339201155,-1.999028198423661
trade_intensity,113.71174332694744,146.34768909356754,1.0,2501.0,3.655461281885573,27.164921712927978
obi,-0.03225701183784308,0.8647928139319194,-1.0,1.0,0.07286252266463629,-1.784768869244843
mid_price,77384.16989887287,194.44318737119752,76914.25551453732,77904.34658077163,0.1459429077822861,-0.7171723438711526
vwmp,77384.16989887287,194.44318737119752,76914.25551453732,77904.34658077163,0.1459429077822861,-0.7171723438711526
price_mid_deviation,0.004534524008640002,1.8372473198587513,-14.33343012109981,21.3443446567544,0.3234995346632611,2.6743803749718884
