feature,mean,std,min,max,skewness,kurtosis
timestamp,1.7798010906814835e+18,21537536178084.87,1.779753600095364e+18,1.779839999886735e+18,-0.5739535163663018,-0.4901583903097415
price,76659.73876690018,519.8639309288759,75677.97,78080.0,0.19745227188911713,-0.45002842740991955
quantity,0.0050912311028560525,0.05182523157765341,1e-05,15.3976,70.85743220665485,11325.681403209373
trade_id,6323047871.879063,969785.3218316276,6321367315.0,6324728059.0,-0.0007755019405303595,-1.198840495898702
segment_id,0.0,0.0,0.0,0.0,0.0,0.0
price_increment,-0.0004205407574084055,0.16893882608973596,-26.080000000001746,28.35000000000582,2.009445300468474,1990.0375138368415
log_return,-5.488375594320367e-09,2.2034165211540847e-06,-0.0003408230360353315,0.0003687285702032028,2.0183657707633427,1999.4061832639422
tick_direction,-0.048101161804264866,0.9988424691777378,-1.0,1.0,0.09631385345844704,-1.9907248444785195
trade_intensity,148.5876220232844,206.80658747312611,1.0,4077.0,5.467883604449532,56.53491288937611
obi,-0.04507270893113675,0.888453574208607,-1.0,1.0,0.10032874159091246,-1.8254550807153755
mid_price,76659.76411393608,519.8656690183402,75677.97507417615,78079.99068563255,0.19738541819274757,-0.4501159112202222
vwmp,76659.76411393608,519.8656690183402,75677.97507417615,78079.99068563255,0.19738541819274757,-0.4501159112202222
price_mid_deviation,-0.025347035899923775,1.8916014063673419,-26.818991819338407,19.23355383396847,0.055222910877508004,3.638615109882715
